Level of development,Women Entrepreneurship Index
Developed,74.8
Developed,69.7
Developed,69.3
Developed,68.8
Developed,68
Developed,66.7
Developed,66.4
Developed,66.3
Developed,64.3
Developed,63.7
Developed,63.6
Developed,63.6
Developed,59.8
Developed,58.5
Developed,57.7
Developed,56.6
Developed,55.9
Developed,55.4
Developed,54.9
Developed,54.8
Developed,53.7
Developed,53.4
Developed,52.5
Developed,51.4
Developed,49.9
Developing,44.5
Developing,43.6
Developed,43
Developing,42.8
Developing,41.2
Developed,40
Developing,39.3
Developing,39.2
Developing,38.6
Developing,38.3
Developing,37
Developing,36.9
Developing,36.6
Developing,36.1
Developing,35.7
Developing,35.6
Developing,32.3
Developing,31.6
Developing,31.1
Developing,30.7
Developing,29.9
Developing,29.7
Developing,27.7
Developing,27.4
Developing,25.8
Developing,25.3
