Countries,Government Size,Economic Freedom
Kuwait,1.190589137,5.46
Jordan,1.529411765,4.83
Togo,1.602104179,3.89
Sweden,1.62691625,5.66
Sweden,1.743562254,5.31
Slovenia,1.752704385,5.31
Israel,1.822888283,3.5
Syria,1.94732609,3.01
Poland,1.999191078,3.51
Nigeria,2.192423594,3.44
Jamaica,2.227593135,3.98
Guyana,2.362745098,6.23
"Congo, Rep. Of",2.372894879,4.3
Slovak Rep,2.392156863,5.42
Nigeria,2.493206444,3.5
Zambia,2.497661885,4.11
Bulgaria,2.544540589,4.17
Zambia,2.559141272,4.73
Sweden,2.599582572,7.32
Sweden,2.610687502,6.45
Sweden,2.618715668,6.96
Poland,2.620392149,5.28
China,2.626018495,3.64
Guyana,2.62745098,6.34
Israel,2.656675749,4.03
Sweden,2.686209729,5.34
Finland,2.689796761,7.52
Israel,2.738774373,4.04
Guyana,2.743137255,5.76
Czech Rep.,2.813030629,5.76
Austria,2.819437203,7.15
"Congo, Rep. Of",2.861857269,4.67
Norway,2.869319815,5.72
Guinea-Bissau,2.870588235,4.8
Hungary,2.916035528,4.48
Egypt,2.91690709,3.75
Hungary,2.935856098,4.89
Norway,2.939555426,6.99
Italy,2.962527432,5.78
Kuwait,2.972868271,3.69
United Kingdom,2.995349816,6.06
Austria,3.047315599,6.46
Norway,3.055012823,5.57
Denmark,3.057371601,6.24
Guyana,3.058823529,6.27
Denmark,3.072011862,7.73
Norway,3.08774655,7.14
Israel,3.103102992,5.91
Austria,3.109224436,6.95
France,3.129519299,6.03
Barbados,3.137648803,6.12
Denmark,3.142467851,6.37
Austria,3.144804714,6.45
Zambia,3.146844219,3.55
Kuwait,3.152588556,4.98
Denmark,3.167304022,7.16
Algeria,3.174870489,4.95
Norway,3.174880205,7.57
Norway,3.183098173,7.26
France,3.22212902,6.97
Norway,3.248049202,6.39
Sweden,3.249236871,7.39
Algeria,3.251466427,3.59
Norway,3.25497643,7.36
Italy,3.330671828,6.75
Niger,3.348529412,4.76
China,3.352941176,5.75
Netherlands,3.360378266,7.48
Nicaragua,3.361716621,1.97
Sweden,3.367954252,7.53
China,3.370588235,5.84
Algeria,3.37715059,5.07
Sweden,3.397343696,7.44
Sweden,3.401558902,7.48
Algeria,3.402811665,5.04
Denmark,3.414625741,7.66
Nicaragua,3.427792916,2.87
Sweden,3.432831705,7.61
Guinea-Bissau,3.436764706,4.78
Netherlands,3.445800611,7.44
Guinea-Bissau,3.455882353,5.05
Algeria,3.461635195,5.01
Sweden,3.466707405,7.58
Guyana,3.479019078,3.27
Algeria,3.48222343,4.83
Angola,3.482747012,4.44
Algeria,3.494739302,5.16
Sweden,3.502865917,7.47
Sweden,3.5028932,7.44
France,3.528948251,7.04
Guinea-Bissau,3.533823529,4.84
New Zealand,3.538276849,6.29
Algeria,3.540150665,5.18
United Kingdom,3.558029231,5.94
France,3.564833718,7.47
Tanzania,3.582434599,3.81
Netherlands,3.586045687,7.54
Trinidad & Tob.,3.588235294,4.33
Denmark,3.599627344,7.88
Belgium,3.602460091,7.32
Benin,3.603398844,4.26
"Congo, Dem. R.",3.603976802,4.26
Sweden,3.61219346,7.4
Algeria,3.616782254,4.99
Belgium,3.619282812,7.35
Botswana,3.619563709,5.34
Sweden,3.620602928,7.44
Portugal,3.632234064,5.62
Denmark,3.633290591,6.09
Netherlands,3.639986376,7.58
